"feature","statistic","statistic_corrected","pval","qval"
"Enorma massiliensis",1.19947931816621,-1.19947931816621,0.230341621924681,0.334438316448336
"Clostridium sp. CAG:299",1.17801183025085,-1.17801183025085,0.238791889953196,0.343405479837453
"[Clostridium] spiroforme",-1.05450040739681,1.05450040739681,0.291653874201656,0.415469198155189
"Phocaeicola vulgatus",1.03689772914344,-1.03689772914344,0.299783522374627,0.423058989519334
"Bacteroides fragilis",-1.02893518793413,1.02893518793413,0.303510131786037,0.424352128700848
"Eggerthella lenta",-1.0196242664042,1.0196242664042,0.307906691774483,0.42440749202474
"Dorea longicatena",1.01696302212681,-1.01696302212681,0.309171020680274,0.42440749202474
"Flavonifractor plautii",-0.971896602103833,0.971896602103833,0.331101990381727,0.445505756677309
"Streptococcus thermophilus",0.970853349473228,-0.970853349473228,0.331621311602404,0.445505756677309
"Bacteroides cellulosilyticus",0.967304719308951,-0.967304719308951,0.333391725195602,0.445505756677309
"Clostridium disporicum",0.932888744672257,-0.932888744672257,0.35087741426429,0.464758680297436
"Roseburia faecis",0.916062078694675,-0.916062078694675,0.359634335865624,0.472215519267036
"Anaerotignum lactatifermentans",0.896199369006928,-0.896199369006928,0.370146292646782,0.481828363704001
"Bifidobacterium pseudocatenulatum",0.877698001056707,-0.877698001056707,0.380107629576088,0.490566256974268
"Phocaeicola dorei",0.814484274745078,-0.814484274745078,0.415367577203439,0.531302791698816
"Bifidobacterium animalis",0.808663336464343,-0.808663336464343,0.41870882259708,0.531302791698816
"Gordonibacter pamelaeae",0.785281580281005,-0.785281580281005,0.432288493050926,0.543963020422416
"Collinsella intestinalis",0.776585093298807,-0.776585093298807,0.43740359908208,0.545850772408215
"Prevotella copri",-0.766623788743122,0.766623788743122,0.443305227466763,0.548681060225256
"Bacteroides finegoldii",0.751217199640466,-0.751217199640466,0.452521950702793,0.552565064043485
"Bacteroides thetaiotaomicron",0.74915790199698,-0.74915790199698,0.453762039346968,0.552565064043485
"Proteobacteria bacterium CAG:139",0.696110569414184,-0.696110569414184,0.486359587882516,0.585844942224657
"Bacteroides faecis CAG:32",0.688731862048455,-0.688731862048455,0.490992021577339,0.585844942224657
"Slackia isoflavoniconvertens",0.682929529267156,-0.682929529267156,0.494651373543071,0.585844942224657
