"species","mean_rel_abund","overall_prevalence","n_cohorts_passing_threshold","passed_abundance_prevalence_filter","passed_majority_cohort_rule","kept_final"
"Klebsiella variicola",0.0709168271954674,0.084985835694051,3,FALSE,TRUE,FALSE
"Klebsiella quasipneumoniae",0.0204645325779037,0.0679886685552408,3,FALSE,TRUE,FALSE
"Cutibacterium granulosum",0,0,0,FALSE,FALSE,FALSE
"Bacteroides galacturonicus",0.0185590084985836,0.189801699716714,3,TRUE,TRUE,TRUE
"Methanobrevibacter smithii",0.877885864022663,0.215297450424929,3,TRUE,TRUE,TRUE
"Clostridium sp. CAG:299",0.0170534560906516,0.104815864022663,3,TRUE,TRUE,TRUE
"Porphyromonas asaccharolytica",0.0538769971671388,0.0481586402266289,2,FALSE,FALSE,FALSE
"Clostridium perfringens",0.0085071104815864,0.0538243626062323,2,FALSE,FALSE,FALSE
"Clostridium paraputrificum",0.00640031161473088,0.0538243626062323,2,FALSE,FALSE,FALSE
"Limosilactobacillus fermentum",0.00330756373937677,0.0198300283286119,0,FALSE,FALSE,FALSE
"Prevotella sp. CAG:279",0.116011246458924,0.084985835694051,1,FALSE,FALSE,FALSE
"Fusobacterium ulcerans",0.015740566572238,0.0113314447592068,0,FALSE,FALSE,FALSE
"Eubacterium ventriosum",0.214963654390935,0.487252124645892,4,TRUE,TRUE,TRUE
"Bifidobacterium bifidum",0.618408980169972,0.294617563739377,4,TRUE,TRUE,TRUE
"Bifidobacterium breve",0.0159650708215297,0.0453257790368272,1,FALSE,FALSE,FALSE
"Prevotella sp. CAG:891",0.0453312181303116,0.0424929178470255,1,FALSE,FALSE,FALSE
"Bifidobacterium pseudocatenulatum",0.348298300283286,0.288951841359773,4,TRUE,TRUE,TRUE
"Lactococcus piscium",0.00210215297450425,0.0084985835694051,0,FALSE,FALSE,FALSE
"Klebsiella oxytoca",0.00449841359773371,0.0169971671388102,0,FALSE,FALSE,FALSE
"Citrobacter freundii",0.00695393767705382,0.0453257790368272,2,FALSE,FALSE,FALSE
"Citrobacter braakii",0.000920736543909348,0.0141643059490085,0,FALSE,FALSE,FALSE
"Bifidobacterium animalis",0.0457572521246459,0.135977337110482,3,TRUE,TRUE,TRUE
"Citrobacter youngae",0.00272059490084986,0.0396600566572238,1,FALSE,FALSE,FALSE
"Lactobacillus acidophilus",0.00495263456090652,0.0311614730878187,2,FALSE,FALSE,FALSE
"Anaeroglobus geminatus",0.00437532577903683,0.0056657223796034,0,FALSE,FALSE,FALSE
"Bifidobacterium dentium",0.0423288668555241,0.104815864022663,4,TRUE,TRUE,TRUE
"Clostridium neonatale",0.00123878186968839,0.0056657223796034,0,FALSE,FALSE,FALSE
"Clostridioides difficile",0.00638096317280453,0.0198300283286119,1,FALSE,FALSE,FALSE
"Enterococcus faecium",0.00392838526912181,0.0509915014164306,2,FALSE,FALSE,FALSE
"Morganella morganii",0.00154031161473088,0.0169971671388102,1,FALSE,FALSE,FALSE
"Streptococcus oralis",0.00623677053824363,0.130311614730878,3,FALSE,TRUE,FALSE
"Klebsiella michiganensis",0.0477039093484419,0.0254957507082153,0,FALSE,FALSE,FALSE
"Clostridium sp. chh4-2",0.000142266288951841,0.0084985835694051,1,FALSE,FALSE,FALSE
"Bacteroides nordii",0.00441949008498584,0.0963172804532578,3,FALSE,TRUE,FALSE
"Klebsiella aerogenes",0.00201342776203966,0.0084985835694051,0,FALSE,FALSE,FALSE
"Leclercia adecarboxylata",5.41359773371105e-05,0.0056657223796034,0,FALSE,FALSE,FALSE
"Enterobacter mori",4.37393767705382e-05,0.0028328611898017,0,FALSE,FALSE,FALSE
"Kluyvera ascorbata",7.47592067988669e-05,0.0056657223796034,0,FALSE,FALSE,FALSE
